"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"85","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","control female(con)-Materl exercise-female(exp)","fig.1C.png","whole animal",26,"adolescence","EPM","anxiety(EPM)","time in open arm","%",81,10,7,65,2.5,7,1,"no","Cohort_007","Shared_005","different F1 sex and ages",NA,26.4575131106459,6.61437827766148,0.220061884776802,0.0167208689684157,1.16623247634309,0.183387535635082,-2.42187001493729,-2.20180813016049,0.0680388872239215,0.0644489824838839,"behavior"
"86","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","control male(con)-Materl exercise-male(exp)","fig.1C.png","whole animal",26,"adolescence","EPM","anxiety(EPM)","time in open arm","%",81,2,7,51.5,5,7,1,"no","Cohort_008","Shared_006","different F1 sex and ages",NA,5.29150262212918,13.228756555323,0.452867347002748,0.010035622252441,-1.3691580788769,0.176702288919108,-1.72872283437735,-1.2758554873746,0.0546496384929582,0.0413559273229988,"behavior"
"87","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","control female(con)-Materl exercise-female(exp)","fig.1C.png","whole animal",120,"adulthood","EPM","anxiety(EPM)","time in open arm","%",72,10,7,58.5,2.5,7,1,"no","Cohort_009","Shared_007","different F1 sex and ages",NA,26.4575131106459,6.61437827766148,0.207639364778245,0.0211164073343561,1.17865499634165,0.187783074001023,-2.30408697928091,-2.09644761450267,0.0662610406509172,0.0625333496661462,"behavior"
"88","Aksu_2012",2012,"Materl treadmill exercise during pregncy decreases anxiety and increases prefrontal cortex VEGF and BDNF levels of rat pups in early and late periods of life","Neuroscience Letters","rats","Wistar","female",NA,NA,7,7,NA,"22","12","treadmill-running","forced","6.7m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","control male(con)-Materl exercise-male(exp)","fig.1C.png","whole animal",120,"adulthood","EPM","anxiety(EPM)","time in open arm","%",71.5,2,7,57,2,7,1,"no","Cohort_010","Shared_008","different F1 sex and ages",NA,5.29150262212918,5.29150262212918,0.226646181865412,0.00201358239442039,-0.226646181865412,0.168680249061087,-2.52026186127903,-2.29361567941361,0.0693911732353256,0.0659871248684569,"behavior"
"89","Sanches_2017",2017,"Pregncy swimming causes short- and long-term neuroprotection against hypoxia-ischemia in very immature rats","Pediatric Research","rats","Wistar","female",NA,NA,6,6,NA,"22","12","swimming","forced","20min",21,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","table2","whole animal",45,"adolescence","EPM","anxiety(EPM)","time in open arm","sec",76.5,16.6,9,76.9,18.5,9,1,"no","Cohort_046","Shared_042","n of F1 assumed;n=7-11","different type of measures",49.8,55.5,-0.00521513567910816,0.104961133214528,-0.103152901042673,0.229961133214528,-0.258407720080101,-0.26362285575921,0.0107364222489411,0.0100675322641402,"behavior"
"90","Sanches_2017",2017,"Pregncy swimming causes short- and long-term neuroprotection against hypoxia-ischemia in very immature rats","Pediatric Research","rats","Wistar","female",NA,NA,6,6,NA,"22","12","swimming","forced","20min",21,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","table2","whole animal",45,"adolescence","EPM","anxiety(EPM)","ratio(open/closed)","%",0.7,0.2,9,0.64,0.21,9,1,"no","Cohort_046","Shared_042","n of F1 assumed;n=7-11","different type of measures",0.6,0.63,0.0896121586896871,0.189298668686225,-0.138402322859119,0.314298668686225,-0.0428605156578262,0.0467516430318608,0.015736163668546,0.0197137514077314,"behavior"
"91","Sanches_2018",2018,"Brain Metabolism Alterations Induced by Pregncy Swimming Decreases Neurological Impairments Following Neotal Hypoxia-Ischemia in Very Immature Rats","Frontiers in Neurology","rats","Wistar","female",NA,NA,8,12,"single","22","12","swimming","forced","20min",21,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","table3","whole animal",45,"adolescence","EPM","anxiety(EPM)","time in open arm","sec",11.1,4.4,12,8.8,3.6,12,1,"no","Cohort_048","Shared_044","n of F1 assumed;n=8-12","different type of measures",15.2420471066061,12.4707658144959,0.232193386834128,0.324485474976875,-0.0315226913719763,0.415394565885966,0.161896607492321,0.394089994326449,0.0245515246844562,0.0528438431314372,"behavior"
"92","Sanches_2018",2018,"Brain Metabolism Alterations Induced by Pregncy Swimming Decreases Neurological Impairments Following Neotal Hypoxia-Ischemia in Very Immature Rats","Frontiers in Neurology","rats","Wistar","female",NA,NA,8,12,"single","22","12","swimming","forced","20min",21,"pregnancy",NA,NA,NA,"mixed","SESH(con)-SWSH(exp)","table3","whole animal",45,"adolescence","EPM","anxiety(EPM)","latency time(anxiety)","sec",46.4,16,12,50.6,22.7,12,-1,"no","Cohort_048","Shared_044","n of F1 assumed;n=8-12","different type of measures",55.4256258422041,78.635106663627,0.0866521170612104,0.32016291871411,-0.263124085186365,0.411072009623201,0.572973335603693,0.486321218542483,0.0945965391357054,0.0712896663901383,"behavior"
"93","Sparling_2018",2018,"Effects of combined pre- and post-tal enrichment on anxiety-like, social, and cognitive behaviours in juvenile and adult rat offspring","Behavioural brain research","rats","Long-Evans","female",NA,NA,NA,NA,NA,NA,NA,"enrichment","voluntary",NA,20,"pregnancy",NA,NA,NA,"mixed","Control(con)-Enriched(exp)","fig.5A.png","whole animal",38,"adolescence","EPM","anxiety(EPM)","time in open arm","%",4.275862069,1.172413793,6,8.689655172,1.655172414,6,1,"no","Cohort_049","Shared_045","different F1 sex","different type of measures",2.87181556025102,4.05432785063067,-0.709147521850703,0.111463281113475,0.364307035345738,0.311463281113475,0.0467991800338169,-0.662348341816886,0.0266257322903767,0.0258071750335094,"behavior"
"94","Sparling_2018",2018,"Effects of combined pre- and post-tal enrichment on anxiety-like, social, and cognitive behaviours in juvenile and adult rat offspring","Behavioural brain research","rats","Long-Evans","female",NA,NA,NA,NA,NA,NA,NA,"enrichment","voluntary",NA,20,"pregnancy",NA,NA,NA,"female","Control(con)-Enriched(exp)","fig.5E.png","whole animal",38,"adolescence","EPM","anxiety(EPM)","rearings","sec",21.70731707,3.902439024,3,19.26829268,4.146341463,3,1,"no","Cohort_050","Shared_046","different F1 sex","different F1 sex",6.7592226630075,7.18167407944547,0.11918851727095,0.0786258332515892,-0.179813139087384,0.578625833251589,-0.856116881295802,-0.736928364024852,0.11232909617891,0.0989684495866988,"behavior"
