"ES_ID","study_ID","year","title","journal","species","strain","F0_sex_exercise","age_manipulation_d","age_mating_d","n_con_parent","n_exp_parent","parent_housing","temperature","photoperiod","manipulation_type","manipulation_mode","manipulatoion_intensity","manipulation_duration","manipulation_window","litter_size_con","litter_size_exp","litter_housing","F1_sex_test","comparison","data_source","tissue_measure","response_age_PND","response_age_life_phase","response_test","response_type","measure","unit_measure","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","biological_direction","multi_use_con","cohort_ID","shared_ID","measure_comments","notes","exp_sd","con_sd","RR","VRR","CVR","VCVR","exerciselnCV","controllnCV","exerciseVlnCV","controlVlnCV","grouped_traits"
"176","Rahimi_2018",2018,"Materl voluntary exercise ameliorates learning deficit in rat pups exposed, in utero, to valproic acid; role of BDNF and VEGF and their receptors","Neuropeptides","rats","Wistar","female",NA,NA,5,5,NA,"22","12","wheel-running","voluntary","100g",11,"pregnancy",NA,NA,NA,"male","Sed-Con(con)-VE-Con(exp)","fig.4B.png","whole animal",36,"adolescence","MWM","memory(MWM)","target distance(memory)","cm",2600,133.3333333,10,2600,155.5555556,10,1,"no","Cohort_041","Shared_037",NA,NA,421.637021250375,491.90985838896,0,0.00620936518445467,-0.154150680362973,0.117320476295566,-1.60941568340415,-1.60941568340415,0.0334201069877984,0.0332710938250149,"behavior"
"177","Yin_2013",2013,"Paterl treadmill exercise enhances spatial learning and memory related to hippocampus among male offspring","Behavioural Brain Research","mice","C57BL/6","male",56,NA,10,10,"single","20-23","12","treadmill-running","forced","12m/min;60min/day",42,"pre-conception","8","8","single","male","CM(con)-EM(exp)","fig.3D.png","whole animal",29,"adolescence","MWM","memory(MWM)","target distance(memory)","%",33.26086957,2.608695652,16,20.65217391,2.391304348,18,1,"no","Cohort_054","Shared_050","different types of measures",NA,10.434782608,10.1454451221101,0.476561030083054,0.0195586824193021,-0.444519602433559,0.0823037804585178,-1.15794500501116,-0.68138397492811,0.0120968084335978,0.00639820559030484,"behavior"
"178","Sparling_2018",2018,"Effects of combined pre- and post-tal enrichment on anxiety-like, social, and cognitive behaviours in juvenile and adult rat offspring","Behavioural brain research","rats","Long-Evans","female",73,NA,6,9,"single","23","12","enrichment","voluntary",NA,21,"pregnancy","48","50","with dam","mixed","Control(con)-Enriched(exp)","fig.7C.png","whole animal",43,"adolescence","MWM","memory(MWM)","target frequency(memory)","count",8.896551724,0.75862069,6,6.413793103,0.75862069,6,1,"no","Cohort_049","Shared_045","different F1 sex and ages","different types of measures",1.8582335988181,1.8582335988181,0.327212911262805,0.0212612543198302,-0.327212911262805,0.22126125431983,-1.46603739647922,-1.13882448521642,0.0580997509319844,0.0453892637651723,"behavior"
"179","Sparling_2018",2018,"Effects of combined pre- and post-tal enrichment on anxiety-like, social, and cognitive behaviours in juvenile and adult rat offspring","Behavioural brain research","rats","Long-Evans","female",73,NA,6,9,"single","23","12","enrichment","voluntary",NA,21,"pregnancy","48","50","with dam","female","Control(con)-Enriched(exp)","fig.7G.png","whole animal",80,"adulthood","MWM","memory(MWM)","target frequency(memory)","count",8.344827586,1.034482759,6,5.379310345,0.482758621,6,1,"no","Cohort_050","Shared_046","different F1 sex and ages","different types of measures",2.53395490725654,1.18251229037965,0.439081718850305,0.0234217146676503,0.323058332920402,0.22342171466765,-1.85400066125975,-1.41491894240945,0.0699870240903538,0.056003659947197,"behavior"
"180","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","8","8",NA,"mixed","sedentary(con)-F.swimming(exp)","fig.2A.png","whole animal",44,"adolescence","MWM","memory(MWM)","target time(memory)","sec",15.20661157,2.775206612,8,36.69421488,3.375206612,8,1,"yes","Cohort_004","Shared_002","shared control; two levels of exercise",NA,7.84946965815578,9.54652593300349,-0.880888804947652,0.0417669350210601,0.685157463328109,0.184624077878203,-0.394124421900401,-1.27501322684805,0.0125215070151351,0.0348015499731672,"behavior"
"181","Akhavan_2008",2008,"Serotonergic and noradrenergic lesions suppress the enhancing effect of materl exercise during pregncy on learning and memory in rat pups","Neuroscience","rats","Wistar","female",NA,NA,36,36,NA,"22-24","12","wheel-running","voluntary","100g",21,"pregnancy","8","8",NA,"mixed","sedentary(con)-F.swimming(exp)","fig.2B.png","whole animal",44,"adolescence","MWM","memory(MWM)","target time(memory)","sec",35.14018692,2.903738318,8,22.61682243,2.056074766,8,1,"yes","Cohort_004","Shared_002","shared control; two levels of exercise",NA,8.21301222179608,5.81545763866058,0.440651417346097,0.0150926719792413,-0.0954511470430482,0.157949814836384,-1.72739734805284,-1.28674593070674,0.0463365768520536,0.0351312372750037,"behavior"
"182","Akhavan_2013",2013,"Materl Voluntary Exercise during Pregncy Enhances the Spatial Learning Acquisition but not the Retention of Memory in Rat Pups via a TrkB-mediated Mechanism: The Role of Hippocampal BDNF Expression","Iranian Jourl of Basic Medical Sciences","rats","Wistar","female",NA,NA,20,20,"single","22-24","12","wheel-running","voluntary","100g",21,"pregnancy",NA,NA,NA,"male","Sed/Cyt(con)-Exc/Cyt(exp)","fig.5A.png","whole animal",61,"adolescence","MWM","memory(MWM)","target time(memory)","sec",27.41935484,5.483870968,7,27.74193548,5.161290323,7,1,"no","Cohort_006","Shared_004",NA,NA,14.508958803295,13.6554906388622,-0.0116960395765975,0.0746133045041971,0.0723206613588411,0.241279971170864,-0.613774126355354,-0.625470165931951,0.0196780001825973,0.019443445155834,"behavior"
"183","Cutuli_2015",2015,"Pre-reproductive materl enrichment influences rat materl care and offspring developmental trajectories: behavioral performances and neuroplasticity correlates","Frontiers in Behavioral Neuroscience","rats","Wistar","female",21,77,10,10,"group (10/cage)",NA,"12","enrichment","voluntary",NA,49,"pre-conception","24","24",NA,"male","EF-P(exp)-SF-P(con)","fig.7F.png","whole animal",57,"adolescence","MWM","memory(MWM)","target time(memory)","sec",33.90410959,3.424657534,12,32.87671233,3.082191781,12,1,"no","Cohort_012","Shared_010",NA,NA,11.8633616948231,10.6770255267264,0.0307716586575364,0.0189921030043809,0.0745888568705117,0.109901193913472,-1.10998740242033,-1.07921574376279,0.0183757987155352,0.0175847159445068,"behavior"
"184","Dayi_2012",2012,"Materl aerobic exercise during pregncy can increase spatial learning by affecting leptin expression on offspring's early and late period in life depending on gender","The Scientific World Jourl","rats","Wistar","female",NA,NA,7,7,NA,"23","12","treadmill-running","forced","8m/min; 30min/day",21,"pregnancy",NA,NA,NA,"female","F(con)-FE(exp)","fig.1b.png","whole animal",21,"early postnatal","MWM","memory(MWM)","target time(memory)","sec",44.61538462,3.076923077,7,38.84615385,5.769230769,7,1,"no","Cohort_019","Shared_017","different F1 sex, and F1 ages",NA,8.14077326501764,15.2639498709159,0.138469674269544,0.0268129036731483,-0.767078333626918,0.193479570339815,-0.989251582286613,-0.850781908017069,0.0319849833406859,0.026758114170497,"behavior"
"185","Dayi_2012",2012,"Materl aerobic exercise during pregncy can increase spatial learning by affecting leptin expression on offspring's early and late period in life depending on gender","The Scientific World Jourl","rats","Wistar","female",NA,NA,7,7,NA,"23","12","treadmill-running","forced","8m/min; 30min/day",21,"pregnancy",NA,NA,NA,"male","M(con)-ME(exp)","fig.1b.png","whole animal",21,"early postnatal","MWM","memory(MWM)","target time(memory)","sec",47.30769231,2.692307692,7,25.76923077,2.307692308,7,1,"no","Cohort_020","Shared_018","different F1 sex, and F1 ages",NA,7.12317660589828,6.10557994942467,0.607491736000381,0.0112584163516986,-0.453341056420742,0.177925083018365,-1.96413647819882,-1.35664474219844,0.0600346131524949,0.0439390866069894,"behavior"
